Description,True Labels,Predicted Labels
"young suitor lose his girlfriend to wealthy businessman at first he be angry then in fit of depression he go to the sea shore where he find lizard immediately he put the lizard into bag and take they home then for no apparent reason the man become obsessed with lady dirty underwear actually sniff the panty to make sure and he steal six or seven taint one from public restroom and brothel at this point the man mix the juice from the underwear with special aggressive compound and then inject the fluid into the lizard the little reptile now hook on love jizz become soldier in his personal battle against female hate woman he scream hold helpless victim ""s"" leg apart allow the little creature to gain entrance lot of woman die drive mad with sexual ecstasy and pain while the misogynist psycho howl with laughter","['Drama', 'Horror']",['Comedy']
film crew produce rock music video decide to shoot at abandon factory above the snow line when avalanche strand they murderous family live in the factory attack and kill many of they,"['Horror', 'Thriller']",['Drama']
"disgrace cop and degenerate cad Shane Bishop now make his living as professional set up artist use his unique skillset to frame his client ""s"" enemy for various criminal offense",['Thriller'],['Crime']
American on vacation in the Caribbean take tour of nearby island at night and watch local voodoo ritual soon after they find themselves strand on the island and under attack by unseen foe one by one they meet violent end,['Thriller'],['Horror']
army experiment in submarine communication fall foul of the deadly secret hide deep within the cave system housing their transmitter,"['Action', 'Horror']",['Drama']
"fearsome swordsman Kain cross the barren wasteland and come upon town where two arch enemy fight incessantly for control of the town ""s"" only well","['Adventure', 'Fantasy']","['Action', 'Animation']"
"Ludvik be bud scientist who seem that all his experiment have go awry Ludvik ""s"" parent wish he would go into music but he insist he must continue while friend tip off the physics teacher about Ludvik ""s"" disastrous plan",['Family'],"['Comedy', 'Horror']"
the CIA KGB and RCMP be after honest lady banker and her crusading journalist friend after the two come into the possession of superchip that could start WWIII if it wall into the wrong hand,"['Adventure', 'Crime', 'Mystery']",['Thriller']
American reporter smuggle news out of Soviet Moscow be blackmail into help beautiful Communist leave the country,"['Comedy', 'Romance']","['Crime', 'Drama', 'Film-Noir', 'History']"
spy game around project to lay gas pipeline from Russia to Europe,['History'],"['Adventure', 'Comedy', 'Thriller']"
Belgrade in 2041 be desert city that look like dump yard few old man try to bring up group of young girl in the old traditional way of their yugoslav ancestor,['Sci-Fi'],['Comedy']
